avg len,diameter,nodes,edges,density,degree,i
1.5,2,5657,7998998,0.5,2828,5657
1.5,2,5669,8032973,0.5,2834,5669
1.5,2,5689,8089758,0.5,2844,5689
1.5,2,5693,8101139,0.5,2846,5693
1.5,2,5701,8123925,0.5,2850,5701
1.5,2,5717,8169593,0.5,2858,5717
1.5,2,5737,8226858,0.5,2868,5737
1.5,2,5741,8238335,0.5,2870,5741
1.5,2,5749,8261313,0.5,2874,5749
1.5,2,5801,8411450,0.5,2900,5801
1.5,2,5813,8446289,0.5,2906,5813
1.5,2,5821,8469555,0.5,2910,5821
1.5,2,5849,8551238,0.5,2924,5849
1.5,2,5857,8574648,0.5,2928,5857
1.5,2,5861,8586365,0.5,2930,5861
1.5,2,5869,8609823,0.5,2934,5869
1.5,2,5881,8645070,0.5,2940,5881
1.5,2,5897,8692178,0.5,2948,5897
1.5,2,5953,8858064,0.5,2976,5953
1.5,2,5981,8941595,0.5,2990,5981
1.5,2,6029,9085703,0.5,3014,6029
1.5,2,6037,9109833,0.5,3018,6037
1.5,2,6053,9158189,0.5,3026,6053
1.5,2,6073,9218814,0.5,3036,6073
1.5,2,6089,9267458,0.5,3044,6089
1.5,2,6101,9304025,0.5,3050,6101
1.5,2,6113,9340664,0.5,3056,6113
1.5,2,6121,9365130,0.5,3060,6121
1.5,2,6133,9401889,0.5,3066,6133
1.5,2,6173,9524939,0.5,3086,6173
1.5,2,6197,9599153,0.5,3098,6197
1.5,2,6217,9661218,0.5,3108,6217
1.5,2,6221,9673655,0.5,3110,6221
1.5,2,6229,9698553,0.5,3114,6229
1.0125,2,6241,19228521,0.9875,6162,6241
1.5,2,6257,9785948,0.5,3128,6257
1.5,2,6269,9823523,0.5,3134,6269
1.5,2,6277,9848613,0.5,3138,6277
1.5,2,6301,9924075,0.5,3150,6301
1.5,2,6317,9974543,0.5,3158,6317
1.5,2,6329,10012478,0.5,3164,6329
1.5,2,6337,10037808,0.5,3168,6337
1.5,2,6353,10088564,0.5,3176,6353
1.5,2,6361,10113990,0.5,3180,6361
1.5,2,6373,10152189,0.5,3186,6373
1.5,2,6389,10203233,0.5,3194,6389
1.5,2,6397,10228803,0.5,3198,6397
1.5,2,6421,10305705,0.5,3210,6421
1.5,2,6449,10395788,0.5,3224,6449
1.5,2,6469,10460373,0.5,3234,6469
1.5,2,6473,10473314,0.5,3236,6473
1.5,2,6481,10499220,0.5,3240,6481
